Institute,Branch Name,Quota,Category,Seat Pool,Rank,Percentile,Round No,University
COEP,CS,HU,OPEN,Gender-Neutral,151,99.9174143,1,SPPU
COEP,CS,HU,OBC,Gender-Neutral,271,99.8645445,1,SPPU
COEP,CS,HU,SC,Gender-Neutral,1933,99.2116821,1,SPPU
COEP,CS,HU,ST,Gender-Neutral,9118,96.4755805,1,SPPU
COEP,CS,HU,NT1,Gender-Neutral,329,99.8393784,1,SPPU
COEP,CS,HU,NT2,Gender-Neutral,357,99.8281723,1,SPPU
COEP,CS,HU,NT3,Gender-Neutral,221,99.8879384,1,SPPU
COEP,CS,HU,VJ,Gender-Neutral,995,99.5677969,1,SPPU
COEP,Robotics and Artificial Intelligence,HU,OPEN,Gender-Neutral,797,99.6445941,1,SPPU
COEP,Robotics and Artificial Intelligence,HU,OBC,Gender-Neutral,1155,99.5078483,1,SPPU
COEP,Robotics and Artificial Intelligence,HU,SC,Gender-Neutral,7027,97.2746725,1,SPPU
COEP,Robotics and Artificial Intelligence,HU,ST,Gender-Neutral,21920,91.1342735,1,SPPU
COEP,Robotics and Artificial Intelligence,HU,NT1,Gender-Neutral,3921,98.4828202,1,SPPU
COEP,Robotics and Artificial Intelligence,HU,NT2,Gender-Neutral,1687,99.3092834,1,SPPU
COEP,Robotics and Artificial Intelligence,HU,NT3,Gender-Neutral,2264,99.1007562,1,SPPU
COEP,Robotics and Artificial Intelligence,HU,VJ,Gender-Neutral,1610,99.3326125,1,SPPU
COEP,ENTC,HU,OPEN,Gender-Neutral,346,99.8312078,1,SPPU
COEP,ENTC,HU,OBC,Gender-Neutral,583,99.7310523,1,SPPU
COEP,ENTC,HU,SC,Gender-Neutral,3802,98.5069349,1,SPPU
COEP,ENTC,HU,ST,Gender-Neutral,11746,95.3905345,1,SPPU
COEP,ENTC,HU,NT1,Gender-Neutral,1135,99.5127893,1,SPPU
COEP,ENTC,HU,NT2,Gender-Neutral,643,99.7054547,1,SPPU
COEP,ENTC,HU,NT3,Gender-Neutral,983,99.5723931,1,SPPU
COEP,ENTC,HU,VJ,Gender-Neutral,12054,95.2749719,1,SPPU
PICT,CS,HU,OPEN,Gender-Neutral,706,99.6779262,1,SPPU
PICT,CS,HU,OBC,Gender-Neutral,1029,99.5532865,1,SPPU
PICT,CS,HU,SC,Gender-Neutral,5837,97.7553311,1,SPPU
PICT,CS,HU,ST,Gender-Neutral,18009,92.7710843,1,SPPU
PICT,CS,HU,NT1,Gender-Neutral,2502,99.0182954,1,SPPU
PICT,CS,HU,NT2,Gender-Neutral,1312,99.4522788,1,SPPU
PICT,CS,HU,NT3,Gender-Neutral,981,99.5723931,1,SPPU
PICT,CS,HU,VJ,Gender-Neutral,5596,97.8417807,1,SPPU
MCOE,CS,HU,OPEN,Gender-Neutral,13039,94.8759338,1,SPPU
MCOE,CS,HU,OBC,Gender-Neutral,14852,94.105562,1,SPPU
MCOE,CS,HU,SC,Gender-Neutral,38445,84.2006246,1,SPPU
MCOE,CS,HU,ST,Gender-Neutral,107158,43.1162283,1,SPPU
MCOE,CS,HU,NT1,Gender-Neutral,22616,90.8072168,1,SPPU
MCOE,CS,HU,NT2,Gender-Neutral,13906,94.5454545,1,SPPU
MCOE,CS,HU,NT3,Gender-Neutral,15285,93.9473684,1,SPPU
MCOE,CS,HU,VJ,Gender-Neutral,37701,84.3950599,1,SPPU
MCOE,IT,HU,OPEN,Gender-Neutral,16179,93.5395473,1,SPPU
MCOE,IT,HU,OBC,Gender-Neutral,17562,93.0014674,1,SPPU
MCOE,IT,HU,SC,Gender-Neutral,39241,83.5642755,1,SPPU
MCOE,IT,HU,ST,Gender-Neutral,86747,58.1382561,1,SPPU
MCOE,IT,HU,NT1,Gender-Neutral,22317,90.9958615,1,SPPU
MCOE,IT,HU,NT2,Gender-Neutral,17654,92.9354446,1,SPPU
MCOE,IT,HU,NT3,Gender-Neutral,15006,94.0441452,1,SPPU
MCOE,IT,HU,VJ,Gender-Neutral,38163,84.2081516,1,SPPU
MCOE,ELECTRICAL,HU,OPEN,Gender-Neutral,74232,66.0524144,1,SPPU
