CATEGORY,RANK,PERCENTILE
OPEN,13,100.0
OPEN,34,99.999
OPEN,53,99.99799999999999
OPEN,69,99.99700000000001
OPEN,80,99.99600000000001
OPEN,91,99.995
OPEN,101,99.994
OPEN,131,99.993
OPEN,140,99.992
OPEN,152,99.991
OPEN,164,99.99
OPEN,237,99.98
OPEN,372,99.97
OPEN,489,99.96
OPEN,604,99.95
OPEN,726,99.94
OPEN,857,99.93
OPEN,1000,99.92
OPEN,1107,99.91
OPEN,1242,99.9
OPEN,1362,99.89
OPEN,1461,99.88
OPEN,1576,99.87
OPEN,1703,99.86
OPEN,1822,99.85
OPEN,1941,99.84
OPEN,2055,99.83
OPEN,2173,99.82
OPEN,2301,99.81
OPEN,2430,99.8
OPEN,2557,99.79
OPEN,2667,99.78
OPEN,2775,99.77
OPEN,2900,99.76
OPEN,3017,99.75
OPEN,3140,99.74
OPEN,3250,99.73
OPEN,3356,99.72
OPEN,3463,99.71
OPEN,3576,99.7
OPEN,3692,99.69
OPEN,3813,99.68
OPEN,3944,99.67
OPEN,4079,99.66
OPEN,4188,99.65
OPEN,4286,99.64
OPEN,4397,99.63
OPEN,4514,99.62
OPEN,4638,99.61
OPEN,4748,99.6
OPEN,4862,99.59
OPEN,4981,99.58
OPEN,5097,99.57
OPEN,5209,99.56
OPEN,5325,99.55
OPEN,5451,99.54
OPEN,5557,99.53
OPEN,5656,99.52
OPEN,5786,99.51
OPEN,5907,99.5
OPEN,6002,99.49
OPEN,6096,99.48
OPEN,6233,99.47
OPEN,6354,99.46
OPEN,6469,99.45
OPEN,6586,99.44
OPEN,6694,99.43
OPEN,6808,99.42
OPEN,6929,99.41
OPEN,7036,99.4
OPEN,7147,99.39
OPEN,7274,99.38
OPEN,7374,99.37
OPEN,7495,99.36
OPEN,7610,99.35
OPEN,7714,99.34
OPEN,7819,99.33
OPEN,7919,99.32
OPEN,8040,99.31
OPEN,8143,99.3
OPEN,8241,99.29
OPEN,8361,99.28
OPEN,8474,99.27
OPEN,8573,99.26
OPEN,8670,99.25
OPEN,8766,99.24
OPEN,8885,99.23
OPEN,9030,99.22
OPEN,9141,99.21
OPEN,9237,99.2
OPEN,9343,99.19
OPEN,9464,99.18
OPEN,9581,99.17
OPEN,9699,99.16
OPEN,9828,99.15
OPEN,9937,99.14
OPEN,10043,99.13
OPEN,10148,99.12
OPEN,10279,99.11
OPEN,10399,99.1
OPEN,10507,99.09
OPEN,10615,99.08
OPEN,10733,99.07
OPEN,10841,99.06
OPEN,10948,99.05
OPEN,11060,99.04
OPEN,11163,99.03
OPEN,11281,99.02
OPEN,11403,99.01
OPEN,11529,99.0
OPEN,12147,98.9
OPEN,13279,98.8
OPEN,14398,98.7
OPEN,15487,98.6
OPEN,16614,98.5
OPEN,17722,98.4
OPEN,18807,98.3
OPEN,19966,98.2
OPEN,21164,98.1
OPEN,22258,98.0
OPEN,23334,97.9
OPEN,24420,97.8
OPEN,25528,97.7
OPEN,26650,97.6
OPEN,27699,97.5
OPEN,28784,97.4
OPEN,29972,97.3
OPEN,31140,97.2
OPEN,32215,97.1
OPEN,33315,97.0
OPEN,34474,96.9
OPEN,35573,96.8
OPEN,36681,96.7
OPEN,37787,96.6
OPEN,38909,96.5
OPEN,40015,96.4
OPEN,41105,96.3
OPEN,42217,96.2
OPEN,43271,96.1
OPEN,44458,96.0
OPEN,45619,95.9
OPEN,46695,95.8
OPEN,47807,95.7
OPEN,48909,95.6
OPEN,50035,95.5
OPEN,51148,95.4
OPEN,52230,95.3
OPEN,53373,95.2
OPEN,54566,95.1
OPEN,55703,95.0
OPEN,61836,94.0
OPEN,72959,93.0
OPEN,84310,92.0
OPEN,99968,91.0
OPEN,106785,90.0
OPEN,118332,89.0
OPEN,130130,88.0
OPEN,141976,87.0
OPEN,153907,86.0
OPEN,165882,85.0
OPEN,177639,84.0
OPEN,189877,83.0
OPEN,202367,82.0
OPEN,214314,81.0
OPEN,227235,80.0
OPEN,240087,79.0
OPEN,252327,78.0
OPEN,265147,77.0
OPEN,277995,76.0
OPEN,291497,75.0
OPEN,305230,74.0
OPEN,318381,73.0
OPEN,330321,72.0
OPEN,342830,71.0
OPEN,356739,70.0
OPEN,370421,69.0
OPEN,382485,68.0
OPEN,394266,67.0
OPEN,407868,66.0
OPEN,422549,65.0
OPEN,435700,64.0
OPEN,448065,63.0
OPEN,460707,62.0
OPEN,474825,61.0
OPEN,487504,60.0
OPEN,497911,59.0
OPEN,510618,58.0
OPEN,523522,57.0
OPEN,537131,56.0
OPEN,551216,55.0
OPEN,563497,54.0
OPEN,576180,53.0
OPEN,588276,52.0
OPEN,599498,51.0
OPEN,611938,50.0
OPEN,625437,49.0
OPEN,636628,48.0
OPEN,647358,47.0
OPEN,661506,46.0
OPEN,673150,45.0
OPEN,684114,44.0
OPEN,697559,43.0
OPEN,710000,42.0
OPEN,721578,41.0
OPEN,731390,40.0
OPEN,741207,39.0
OPEN,754680,38.0
OPEN,766856,37.0
OPEN,777732,36.0
OPEN,791697,35.0
OPEN,802922,34.0
OPEN,811454,33.0
OPEN,821579,32.0
OPEN,832985,31.0
OPEN,847602,30.0
OPEN,859527,29.0
OPEN,870048,28.0
OPEN,880195,27.0
OPEN,888842,26.0
OPEN,900181,25.0
OPEN,910744,24.0
OPEN,920113,23.0
OPEN,932372,22.0
OPEN,944206,21.0
OPEN,952800,20.0
OPEN,961618,19.0
OPEN,971183,18.0
OPEN,982250,17.0
OPEN,993089,16.0
OPEN,999764,15.0
OPEN,1013690,14.0
OPEN,1021483,13.0
OPEN,1032002,12.0
OPEN,1042416,11.0
OPEN,1051649,10.0
OPEN,1061194,9.0
OPEN,1069797,8.0
OPEN,1079289,7.0
OPEN,1089418,6.0
OPEN,1098238,5.0
OPEN,1106469,4.0
OPEN,1115612,3.0
OPEN,1124871,2.0
OPEN,1133892,1.0
OPEN,1142615,0.0
VJ,1,99.999
VJ,2,99.99700000000001
VJ,3,99.99600000000001
VJ,12,99.98
VJ,23,99.97
VJ,32,99.96
VJ,44,99.95
